year,month,day,statefips,emp,emp_incq1,emp_incq2,emp_incq3,emp_incq4,emp_incmiddle,emp_incbelowmed,emp_incabovemed,emp_ss40,emp_ss60,emp_ss65,emp_ss70
2020,1,24,47,0.00104,0.00593,0.000722,-0.00019,-0.0043,0.000304,0.00321,-0.00187,-0.00206,-6.61e-05,-0.00094,0.0174
2020,1,24,48,-0.000384,0.000972,0.000925,0.00113,-0.00562,0.00102,0.000949,-0.00199,-0.0036,-0.000889,0.00288,-0.000302
2020,1,24,49,-0.00014,-0.00191,0.00108,-0.000126,-0.000685,0.000558,7.09e-05,-0.000372,0.00169,-0.00461,0.00285,-0.00548
2020,1,24,50,0.000612,-0.0014,0.00431,-0.00185,-0.00367,0.00172,0.00321,-0.00243,0.00142,0.00202,0.00327,0.00626
2020,1,24,51,-0.00217,-0.00147,0.00092,-0.00172,-0.00554,-0.000474,-0.000133,-0.00373,-0.00134,-0.00501,0.000346,0.00332
2020,1,24,53,-0.00109,-0.0954,0.00518,0.00261,-0.00399,0.00388,-0.00228,-0.000408,-0.00362,0.00242,0.00182,0.00155
2020,1,24,54,-0.000852,-0.00371,0.00733,-0.00221,-0.00626,0.00364,0.000239,-0.00379,-0.00458,-0.00727,0.00696,0.00502
2020,1,24,55,-0.00109,0.00231,-0.0033,0.000337,-0.00467,-0.00151,-0.000754,-0.0015,9.38e-05,0.00108,-0.0023,0.00348
2020,1,24,56,-0.00119,-0.00443,-0.00441,-0.00609,0.0106,-0.00533,-0.00442,0.00153,-0.00932,-0.00413,0.00221,-0.0159
2020,1,31,1,-0.00478,-0.0199,0.00954,-0.00033,-0.00765,0.00466,-0.00603,-0.00309,-0.0386,-0.00265,0.0112,-0.0165
2020,1,31,2,-0.00234,-0.0854,-0.00952,0.0158,0.0106,0.0023,-0.0231,0.0135,-0.00178,0.0118,0.0168,0.0376
2020,1,31,4,0.00256,-0.00681,0.0112,-0.000834,0.00174,0.00602,0.00441,0.000207,-0.00141,0.00508,-9.98e-05,0.00818
2020,1,31,5,0.00529,0.00746,0.013,-0.00388,-0.000818,0.00546,0.00987,-0.00269,0.0211,-0.00433,-0.0322,0.0547
2020,1,31,6,0.00467,-0.0188,0.00996,0.00396,0.00369,0.00728,0.00573,0.00384,0.00198,0.00234,0.0112,0.00949
2020,1,31,8,0.000874,-0.0198,0.0076,0.00456,-0.00301,0.00597,0.000585,0.00105,0.00463,0.00785,0.00318,-0.0141
2020,1,31,9,-0.00311,-0.00793,-0.00131,-0.00488,-0.00104,-0.00312,-0.00303,-0.00317,-0.00209,-0.00746,-0.00466,0.00674
2020,1,31,10,0.00127,-0.00198,0.0008,-0.0051,0.0133,-0.00209,-0.000456,0.00308,0.000562,0.00278,0.00532,-0.000519
2020,1,31,11,0.00353,0.00481,0.00589,0.00904,-0.00165,0.0075,0.00575,0.00257,-0.0135,0.00112,0.0109,0.0109
2020,1,31,12,0.00175,0.00357,0.00385,0.00165,-0.00409,0.00284,0.00373,-0.000693,0.000447,-0.000688,0.00356,0.00825
2020,1,31,13,-0.00175,-0.00465,0.0014,-0.00457,0.000997,-0.00154,-0.00153,-0.00198,-0.00597,0.000458,0.00304,-0.00748
2020,1,31,15,-0.0433,-0.0328,-0.0614,-0.0324,-0.0224,-0.0529,-0.0528,-0.0273,0.00885,0.00558,0.032,0.00496
2020,1,31,16,0.0153,-0.0141,0.032,0.0144,0.0149,0.0251,0.0157,0.0146,-0.038187085440496114,0.00396,0.028,-0.0193
2020,1,31,17,-0.00316,-0.00493,-0.00234,-0.00335,-0.00284,-0.00282,-0.00322,-0.0031,-0.00519,0.00408,0.000848,-0.0134
2020,1,31,18,-0.00166,-0.00187,-0.00325,0.00356,-0.00705,-0.000101,-0.00263,-0.000383,0.000439,-0.0137,0.0103,0.00367
2020,1,31,19,0.00241,0.00334,0.00116,-0.0121,0.0246,-0.00538,0.00234,0.00251,0.00696,0.00245,0.000464,0.00179
2020,1,31,20,-0.00526,-0.00583,-0.0118,0.00134,-0.00402,-0.00545,-0.00926,-0.000844,-0.00929,-0.00917,0.00177,-0.17307094682159943
2020,1,31,21,0.00157,0.0048,0.00281,-0.000637,-0.00345,0.00126,0.00378,-0.00171,0.00372,-0.000433,-0.00251,0.00675
2020,1,31,22,0.0019,0.00661,0.0026,-0.0017,-0.00432,0.000556,0.00491,-0.00277,0.00195,-0.00349,0.000188,0.0152
2020,1,31,23,-0.000554,0.00861,-0.00362,0.00199,-0.00708,-0.00114,-0.000345,-0.000803,0.00302,-0.000907,0.00376,-0.00509
2020,1,31,24,-0.00107,0.000685,-0.000923,-0.000805,-0.00253,-0.000864,-0.000341,-0.00165,-0.00529,-0.00229,0.00496,-0.0133
2020,1,31,25,-0.00371,-0.0106,-0.00247,-0.00327,-0.00338,-0.00288,-0.00432,-0.00332,-0.00558,-0.00221,-0.00125,-0.00215
2020,1,31,26,-0.00424,-0.011,-0.00176,-0.00125,-0.00398,-0.00152,-0.00587,-0.00238,-0.00617,-0.00361,-0.00494,-0.0059
2020,1,31,27,-0.00367,-0.00569,-0.00608,1.73e-05,-0.00456,-0.00285,-0.00595,-0.00196,-0.00351,0.00261,0.00228,-0.0157
2020,1,31,28,0.00378,0.00455,0.00476,0.00148,0.000936,0.00325,0.0046,0.00128,0.00283,-0.0026,0.0431,-0.0396
2020,1,31,29,-0.0046,-0.00576,-0.00442,-0.00225,-0.00689,-0.00331,-0.00503,-0.00416,-0.00424,-0.00471,0.00381,-0.00731
2020,1,31,30,-0.0174,-0.0157,0.000252,-0.0344,-0.0194,-0.0173,-0.00611,-0.029,-0.00179,-0.0405,0.0123,-0.0252
2020,1,31,31,-0.0112,-0.0106,-0.0189,-0.00334,-0.0119,-0.0113,-0.0152,-0.00698,-0.00405,-0.0125,-0.0266,0.00226
2020,1,31,32,0.000787,0.00521,-0.000189,-0.000397,-0.00197,-0.000283,0.00227,-0.00107,0.00171,0.00298,-0.00065,0.00291
2020,1,31,33,-0.00234,-0.00892,0.00261,-0.0022,-0.00427,0.000204,-0.00169,-0.00298,-0.00496,-0.00126,0.000916,-0.00219
2020,1,31,34,-0.00252,-0.0053,0.000553,-0.00332,-0.00252,-0.00141,-0.00208,-0.00292,-0.000256,-0.00415,0.000898,-0.00522
2020,1,31,35,0.00508,0.00429,0.011,0.00917,-0.0136,0.0103,0.00771,0.000317,0.0215,0.00681,0.00843,0.00932
2020,1,31,36,-0.00192,-0.00833,0.0031,-0.00364,-0.00336,-4.27e-05,-7.94e-05,-0.00351,-7.99e-06,-0.00301,-0.00175,0.00012
2020,1,31,37,-0.00139,-0.00553,0.00311,-0.000268,-0.0036,0.00156,-0.00124,-0.00161,-0.000581,-0.014,0.00524,-0.00348
